看板名稱,熱門指數
Gossiping,13676
C_Chat,4547
Stock,4094
Baseball,2523
NBA,2224
Lifeismoney,1355
HatePolitics,1121
KoreaStar,1119
LoL,1026
home-sale,801
car,741
basketballTW,739
movie,649
Beauty,588
Tech_Job,530
sex,529
Military,515
BabyMother,488
MobileComm,488
Japan_Travel,487
PC_Shopping,472
creditcard,423
DIABLO,409
WomenTalk,369
Tennis,324
KoreaDrama,293
Steam,276
AllTogether,268
japanavgirls,261
Boy-Girl,255
NSwitch,250
Tainan,239
BaseballXXXX,222
SportLottery,213
Kaohsiung,206
Japandrama,204
Marginalman,203
TaichungBun,202
CVS,197
China-Drama,187
marriage,185
PlayStation,185
miHoYo,181
Bank_Service,178
HardwareSale,170
iOS,165
e-shopping,162
KR_Entertain,160
joke,155
Drama-Ticket,151
Elephants,149
CFantasy,143
biker,132
watch,132
AC_In,122
studyteacher,122
BeautySalon,120
CarShop,119
Lakers,117
Hsinchu,115
Gamesale,111
marvel,107
MuscleBeach,101
mobilesales,99
Lions,97
MakeUp,94
ToS,93
PuzzleDragon,92
MacShop,91
TaiwanDrama,88
EAseries,82
WOW,81
YuanChuang,77
TW_Entertain,77
Headphone,76
Salary,74
MLB,74
give,72
SET,72
Palmar_Drama,72
Soft_Job,70
E-appliance,69
ONE_PIECE,67
Vtuber,66
cat,66
Badminton,66
KoreanPop,65
Aviation,64
StupidClown,63
Volleyball,62
Key_Mou_Pad,60
FAPL,60
Food,60
PokemonGO,59
fastfood,57
Wanted,56
Hip-Hop,55
BabyProducts,54
nb-shopping,53
PublicServan,53
Gov_owned,53
BlueArchive,52
TWICE,52
DigiCurrency,52
DC_SALE,51
DMM_GAMES,51
Brand,50
DSLR,49
Broad_Band,49
FORMULA1,49
Monkeys,47
gay,47
TY_Research,46
Taoyuan,45
SakaTalk,44
FTV,44
Railway,44
FATE_GO,43
Teacher,43
part-time,43
MobilePay,42
facelift,42
ChangHua,40
Audiophile,39
Insurance,39
cookclub,39
Hearthstone,38
EatToDie,38
